radio_id,viviendas_ocupadas,viviendas_desocupadas,viviendas_totales
63574908,298,60,358
63575001,295,18,313
63575002,293,111,404
63575003,313,108,421
63575004,345,32,377
63575005,375,68,443
63575006,380,149,529
63575007,131,66,197
63575008,465,48,513
63575009,514,72,586
63575010,266,53,319
63575011,201,4,205
63575012,369,27,396
63575013,212,26,238
63575014,220,16,236
63575015,267,14,281
63575101,308,21,329
63575102,367,9,376
63575103,344,39,383
63575104,335,20,355
63575105,356,29,385
63575106,342,5,347
63575107,347,1,348
63575108,277,0,277
63575109,250,25,275
63575110,220,28,248
63575201,514,1,515
63575202,401,3,404
63575203,424,35,459
63575204,397,18,415
63575205,320,17,337
63575206,211,6,217
63575207,376,8,384
63575208,257,8,265
63575301,400,17,417
63575302,408,13,421
63575303,416,31,447
63575304,362,25,387
63575305,193,0,193
63575306,224,12,236
63575307,255,8,263
63575308,230,10,240
63575309,360,48,408
63575310,307,24,331
63575311,268,17,285
63575401,278,25,303
63575402,338,19,357
63575403,384,22,406
63575404,402,17,419
63575405,329,9,338
63575406,254,29,283
63575407,272,25,297
63575408,226,34,260
63575501,225,47,272
63575502,328,52,380
63575503,218,10,228
63575504,233,41,274
63575505,198,13,211
63575506,262,27,289
63575507,263,13,276
63575508,282,28,310
63575509,239,30,269
63575510,237,36,273
63575511,237,25,262
63575601,377,68,445
63575602,429,37,466
63575603,358,87,445
63575604,266,47,313
63575605,211,60,271
63575606,319,51,370
63575607,371,86,457
63575608,332,20,352
63575609,272,40,312
63575610,193,24,217
63575611,203,38,241
63575612,331,60,391
63575613,237,52,289
63575614,177,33,210
63575615,209,41,250
63575701,343,11,354
63575702,368,16,384
63575703,267,3,270
63575704,212,15,227
63575705,198,38,236
63575706,327,19,346
63575707,276,15,291
63575708,172,4,176
63575709,424,26,450
63575710,201,6,207
63575711,255,4,259
63575712,166,32,198
63575801,238,15,253
63575802,401,32,433
63575803,223,39,262
63575804,317,13,330
63575805,350,56,406
63575806,364,34,398
63575807,330,22,352
63575808,185,5,190
63575809,260,13,273
63575901,417,23,440
63575902,381,85,466
63575903,288,116,404
63575904,306,42,348
63575905,335,21,356
63575906,278,14,292
63575907,355,4,359
63575908,352,59,411
63575909,218,18,236
63575910,217,46,263
63575911,350,40,390
63575912,180,15,195
63576001,335,54,389
63576002,278,44,322
63576003,307,46,353
63576004,205,29,234
63576005,301,37,338
63576006,162,30,192
63576007,339,70,409
63576008,319,59,378
63576009,236,7,243
63576010,243,5,248
63576011,250,1,251
63576012,217,48,265
63576101,356,50,406
63576102,175,15,190
63576103,165,7,172
63576104,309,45,354
63576105,301,6,307
63576106,208,52,260
63576107,179,32,211
63576108,20,1,21
63576109,235,26,261
63576110,201,48,249
63576111,219,70,289
63576112,88,14,102
63576113,264,110,374
63576114,232,46,278
63576115,156,4,160
63576116,220,102,322
63576201,335,32,367
63576202,198,17,215
63576203,173,41,214
63576204,310,60,370
63576205,313,45,358
63576206,274,68,342
63576207,246,42,288
63576208,98,44,142
63576209,287,59,346
63576210,104,71,175
63576211,166,81,247
63576212,179,81,260
63576301,3,24,27
63576302,127,189,316
63576303,158,250,408
63576304,143,145,288
63576305,182,249,431
63576306,102,178,280
63576307,105,186,291
63576308,127,333,460
63576309,138,241,379
63576401,266,8,274
63576402,297,28,325
63576403,313,17,330
63576404,352,52,404
63576405,306,62,368
63576406,203,100,303
63576407,241,122,363
63576408,199,92,291
63576409,124,127,251
63576410,103,125,228
63576411,161,221,382
63576412,217,29,246
63576413,259,8,267
63576501,179,42,221
63576502,262,96,358
63576503,1,0,1
63576504,211,42,253
63576505,233,51,284
63576506,211,36,247
63576507,292,59,351
63576508,407,32,439
63576509,160,101,261
63576510,225,61,286
63576511,211,67,278
63576512,277,102,379
63576513,91,161,252
63576514,156,103,259
63576515,210,89,299
63576516,187,19,206
63576601,305,40,345
63576602,223,3,226
63576603,172,10,182
63576604,325,57,382
63576605,246,10,256
63576606,329,16,345
63576607,284,12,296
63576608,246,17,263
63576609,166,17,183
63576701,205,31,236
63576702,353,14,367
63576703,348,33,381
63576704,350,13,363
63576705,289,15,304
63576706,248,7,255
63576707,402,12,414
63576708,247,6,253
63576709,302,5,307
63576710,397,7,404
63576711,359,13,372
63576712,335,17,352
63576713,229,0,229
63576714,250,5,255
63576715,465,4,469
63576801,484,7,491
63576802,424,22,446
63576803,252,2,254
63576804,207,10,217
63576805,224,10,234
63576806,279,19,298
63576807,307,9,316
63576808,266,16,282
63576809,263,3,266
63576810,387,3,390
63576901,232,8,240
63576902,240,12,252
63576903,229,5,234
63576904,261,16,277
63576905,255,17,272
63576906,291,9,300
63576907,367,16,383
63576908,262,10,272
63576909,326,11,337
63576910,371,14,385
63576911,233,7,240
63577001,294,10,304
63577002,369,14,383
63577003,232,9,241
63577004,242,30,272
63577005,209,15,224
63577006,257,30,287
63577007,406,48,454
63577008,362,51,413
63577009,220,61,281
63577010,192,5,197
63577011,250,9,259
63577012,225,24,249
63577013,303,6,309
63577014,241,8,249
63577015,248,2,250
63577016,225,21,246
63577101,320,16,336
63577102,389,26,415
63577103,387,12,399
63577104,468,43,511
63577105,289,25,314
63577106,367,9,376
63577107,376,36,412
63577108,247,16,263
63577109,291,8,299
63577110,282,0,282
63577111,319,6,325
63577112,434,10,444
63577113,184,28,212
63577114,222,15,237
63577201,397,18,415
63577202,447,5,452
63577203,311,2,313
63577204,316,9,325
63577205,362,8,370
63577206,297,35,332
63577207,299,6,305
63577208,218,0,218
63577209,194,4,198
63577210,204,6,210
63577211,333,29,362
63577212,224,2,226
63577213,263,3,266
63577301,193,3,196
63577302,76,26,102
63577303,14,0,14
63577304,206,11,217
63577305,308,64,372
63577306,11,0,11
63577307,49,12,61
63577308,77,31,108
63577309,88,6,94
63577310,317,23,340
63577311,410,14,424
63577401,419,9,428
63577402,291,101,392
63577403,468,25,493
63577404,542,17,559
63577405,299,17,316
63577406,256,7,263
63577407,309,12,321
63577408,496,28,524
63577409,425,18,443
63577410,379,31,410
63577501,298,221,519
63577502,100,130,230
63577503,43,0,43
63577504,82,9,91
63577505,201,135,336
63577506,160,99,259
63577507,203,56,259
63577508,222,97,319
63577509,250,124,374
63577510,134,145,279
63577511,159,107,266
63577601,136,14,150
63577602,202,29,231
63577603,185,102,287
63577604,228,94,322
63577605,267,101,368
63577606,117,14,131
63577607,205,185,390
63577608,140,13,153
63577609,100,100,200
63577610,160,98,258
63577611,80,75,155
63577612,77,37,114
63577701,59,11,70
63577702,22,0,22
63577703,233,74,307
63577704,297,10,307
63577705,12,1,13
63577706,18,1,19
63577707,41,39,80
63577708,110,63,173
63577709,54,3,57
63577710,25,87,112
63577801,7,0,7
63577802,146,16,162
63577803,126,3,129
63577804,306,6,312
63577805,320,5,325
63577806,24,0,24
63577807,56,6,62
63577901,38,2,40
63577902,390,12,402
63577903,19,0,19
63577904,426,15,441
63577905,269,5,274
63577906,278,1,279
63577907,333,7,340
63577908,291,19,310
63577909,230,6,236
63577910,20,0,20
63577911,308,0,308
63577912,233,12,245
63578001,27,0,27
63578002,225,102,327
63578003,333,169,502
63578004,262,79,341
63578005,171,66,237
63578006,174,41,215
63578007,174,68,242
63578008,171,103,274
63578009,217,90,307
63578010,199,38,237
63578011,235,65,300
63578012,301,87,388
63578013,229,93,322
63578014,227,82,309
63578101,72,0,72
63578102,11,7,18
63578103,8,0,8
63578104,105,43,148
63578105,222,37,259
63578106,238,30,268
63578201,73,4,77
63578202,61,20,81
63578203,68,13,81
63578204,27,32,59
63578205,73,28,101
63578206,27,13,40
63578207,99,3,102
63578208,194,61,255
63578209,212,31,243
63578210,206,32,238
63578211,12,7,19
63578212,71,1,72
63578213,66,3,69
63578214,20,3,23
63578301,114,3,117
63578302,94,18,112
63578303,106,13,119
63578401,42,29,71
63578402,24,2,26
63578403,99,79,178
63578404,84,41,125
63578405,78,82,160
63578406,78,22,100
63578407,50,27,77
63578408,35,35,70
63578409,40,45,85
63578410,23,10,33
63578411,53,58,111
63578412,61,61,122
63578413,28,39,67
63578501,38,21,59
63578502,51,68,119
63578503,52,83,135
63578504,55,75,130
63578505,53,36,89
63578506,52,39,91
63578507,44,56,100
63578508,66,120,186
63578509,61,117,178
63578510,58,98,156
63578511,25,43,68
63578512,27,2,29
63578601,10,31,41
63578602,27,74,101
63578603,37,93,130
63578604,42,86,128
63578605,19,39,58
63578606,8,19,27
63578607,10,14,24
63578608,15,36,51
63578609,26,68,94
63578610,20,74,94
63578611,17,57,74
63578612,26,63,89
63578613,12,22,34
63578701,300,31,331
63578702,291,29,320
63578703,273,54,327
63578704,266,60,326
63578705,322,44,366
63578706,312,54,366
63578707,213,30,243
63578708,225,12,237
63578709,214,43,257
63578710,206,10,216
63578711,183,14,197
63578712,298,37,335
63578713,202,14,216
63578801,129,72,201
63578802,11,2,13
63578803,148,29,177
63578804,207,46,253
63578805,105,78,183
63578806,167,2,169
63578807,242,87,329
63578808,132,101,233
63578809,134,0,134
63578810,111,108,219
63578811,153,93,246
63578901,291,101,392
63578902,308,106,414
63578903,243,50,293
63578904,257,106,363
63578905,288,11,299
63578906,203,59,262
63578907,120,53,173
63578908,241,50,291
63578909,167,129,296
63578910,133,10,143
63578911,284,60,344
63578912,172,79,251
63578913,115,49,164
63578914,131,36,167
63578915,173,92,265
63579001,197,51,248
63579002,177,77,254
63579003,185,146,331
63579004,168,117,285
63579005,206,169,375
63579006,91,177,268
63579007,250,132,382
63579008,124,18,142
63579009,156,111,267
63579010,111,99,210
63579011,93,48,141
63579101,378,76,454
63579102,132,14,146
63579103,67,4,71
63579104,500,62,562
63579105,61,13,74
63579106,80,6,86
63579107,146,0,146
63579108,112,51,163
63579109,121,65,186
63579110,149,75,224
63579111,109,39,148
63579201,422,13,435
63579202,289,2,291
63579203,134,13,147
63579204,266,2,268
63579205,209,3,212
63579206,170,1,171
63579207,256,3,259
63579208,69,1,70
63579209,245,17,262
63579210,88,6,94
63579211,410,4,414
63579212,194,7,201
63579213,106,2,108
63579214,184,24,208
63579215,42,0,42
63579301,80,13,93
63579302,349,23,372
63579303,177,7,184
63579304,277,18,295
63579305,272,4,276
63579306,188,19,207
63579307,268,43,311
63579308,465,16,481
63579309,285,12,297
63579310,319,3,322
63579401,334,21,355
63579402,279,85,364
63579403,137,92,229
63579404,102,97,199
63579405,190,214,404
63579406,118,174,292
63579407,72,167,239
63579408,162,291,453
63579409,184,197,381
63579501,457,8,465
63579502,374,11,385
63579503,361,12,373
63579504,262,2,264
63579505,301,9,310
63579506,250,4,254
63579507,318,1,319
63579508,388,2,390
63579509,366,4,370
63579601,410,8,418
63579602,315,4,319
63579603,278,2,280
63579604,313,6,319
63579605,278,1,279
63579606,229,12,241
63579607,256,2,258
63579608,219,0,219
63579701,249,3,252
63579702,220,3,223
63579703,230,5,235
63579704,202,5,207
63579705,427,3,430
63579706,278,2,280
63579707,314,4,318
63579708,320,2,322
63579709,489,5,494
63579710,277,3,280
63579801,284,136,420
63579802,197,54,251
63579803,169,65,234
63579804,165,49,214
63579805,160,58,218
63579806,147,65,212
63579807,141,37,178
63579901,25,12,37
63579902,100,30,130
63579903,144,78,222
63579904,188,45,233
63579905,83,23,106
63579906,205,32,237
63579907,222,63,285
63579908,286,45,331
63579909,255,33,288
63579910,231,17,248
63579911,242,27,269
63579912,237,37,274
