radio_id,hogares_con_nbi,hogares_sin_nbi,hogares_nbi_hac,hogares_nbi_viv,hogares_nbi_san,hogares_nbi_esc,hogares_nbi_sub,hogares_totales,prop_con_nbi
63571403,5,430,4,1,0,1,0,435,0.011494252873563218
63571404,12,373,3,9,0,0,1,385,0.03116883116883117
63571405,4,262,0,2,0,2,0,266,0.015037593984962405
63571406,5,323,1,3,0,0,1,328,0.01524390243902439
63571407,12,387,3,8,0,1,1,399,0.03007518796992481
63571408,10,339,6,3,0,0,1,349,0.02865329512893983
63571409,4,304,0,3,0,1,0,308,0.012987012987012988
63571501,1,237,0,1,0,0,0,238,0.004201680672268907
63571502,2,236,1,1,0,0,0,238,0.008403361344537815
63571503,6,296,2,2,1,3,1,302,0.019867549668874173
63571504,9,200,0,8,0,1,0,209,0.0430622009569378
63571505,44,445,7,12,30,3,2,489,0.08997955010224949
63571506,10,272,4,6,0,1,2,282,0.03546099290780142
63571507,2,578,0,2,0,0,0,580,0.0034482758620689655
63571508,5,408,1,2,0,2,0,413,0.012106537530266344
63571509,15,402,5,10,1,2,0,417,0.03597122302158273
63571510,5,356,0,4,0,1,0,361,0.013850415512465374
63571511,9,169,1,5,0,3,0,178,0.05056179775280899
63571512,4,178,2,0,0,1,1,182,0.02197802197802198
63571513,11,199,2,7,0,2,0,210,0.05238095238095238
63571514,0,82,0,0,0,0,0,82,0.0
63571601,9,385,4,3,0,1,1,394,0.02284263959390863
63571602,12,280,2,10,0,0,0,292,0.0410958904109589
63571603,8,364,3,4,0,2,0,372,0.021505376344086023
63571604,6,269,1,1,0,2,2,275,0.02181818181818182
63571605,29,245,3,13,10,2,2,274,0.10583941605839416
63571606,4,266,1,2,0,1,0,270,0.014814814814814815
63571607,1,212,0,0,0,1,0,213,0.004694835680751174
63571608,14,255,4,10,0,0,0,269,0.05204460966542751
63571609,2,163,0,2,0,0,0,165,0.012121212121212121
63571610,8,197,4,3,0,1,0,205,0.03902439024390244
63571611,10,264,1,8,0,1,0,274,0.0364963503649635
63571612,2,200,0,1,0,1,0,202,0.009900990099009901
63571613,1,240,0,1,0,0,0,241,0.004149377593360996
63571614,5,148,1,3,0,2,0,153,0.032679738562091505
63571701,3,357,2,1,0,0,0,360,0.008333333333333333
63571702,1,189,0,0,0,0,1,190,0.005263157894736842
63571703,2,241,0,2,0,0,0,243,0.00823045267489712
63571704,1,208,0,0,0,1,0,209,0.004784688995215311
63571705,4,388,2,1,0,2,0,392,0.01020408163265306
63571706,3,234,2,0,0,1,0,237,0.012658227848101266
63571707,4,232,2,1,0,1,0,236,0.01694915254237288
63571708,1,176,0,1,0,0,0,177,0.005649717514124294
63571709,5,412,1,3,0,1,0,417,0.011990407673860911
63571710,4,333,1,0,1,1,1,337,0.011869436201780416
63571711,2,205,1,1,0,0,0,207,0.00966183574879227
63571712,0,233,0,0,0,0,0,233,0.0
63571801,2,279,0,1,0,1,0,281,0.0071174377224199285
63571802,2,316,0,1,0,1,0,318,0.006289308176100629
63571803,2,173,2,0,0,0,0,175,0.011428571428571429
63571804,0,166,0,0,0,0,0,166,0.0
63571805,1,190,0,1,0,0,0,191,0.005235602094240838
63571806,2,199,0,2,0,0,0,201,0.009950248756218905
63571807,2,132,1,2,0,0,0,134,0.014925373134328358
