radio_id,poblacion_total,mujeres_total,varones_total
63575809,722,377,345.0
63575901,985,555,430.0
63575902,860,456,404.0
63575903,640,345,295.0
63575904,720,372,348.0
63575905,889,478,411.0
63575906,736,381,355.0
63575907,886,463,423.0
63575908,907,496,411.0
63575909,539,296,243.0
63575910,552,301,251.0
63575911,877,448,429.0
63575912,486,258,228.0
63576001,826,431,395.0
63576002,661,338,323.0
63576003,712,397,315.0
63576004,500,256,244.0
63576005,795,402,393.0
63576006,387,202,185.0
63576007,866,440,426.0
63576008,859,447,412.0
63576009,664,345,319.0
63576010,728,385,343.0
63576011,776,411,365.0
63576012,548,291,257.0
63576101,985,502,483.0
63576102,439,226,213.0
63576103,431,215,216.0
63576104,819,440,379.0
63576105,854,455,399.0
63576106,540,283,257.0
63576107,478,227,251.0
63576108,66,37,29.0
63576109,620,338,282.0
63576110,465,225,240.0
63576111,556,299,257.0
63576112,334,166,168.0
63576113,626,341,285.0
63576114,520,260,260.0
63576115,458,231,227.0
63576116,508,276,232.0
63576201,917,493,424.0
63576202,504,260,244.0
63576203,451,239,212.0
63576204,790,419,371.0
63576205,846,440,406.0
63576206,672,353,319.0
63576207,682,339,343.0
63576208,251,132,119.0
63576209,699,381,318.0
63576210,223,123,100.0
63576211,375,199,176.0
63576212,443,220,223.0
63576301,6,3,3.0
63576302,344,191,153.0
63576303,324,156,168.0
63576304,375,198,177.0
63576305,457,236,221.0
63576306,333,170,163.0
63576307,245,128,117.0
63576308,310,164,146.0
63576309,310,159,151.0
63576401,778,401,377.0
63576402,834,426,408.0
63576403,927,471,456.0
63576404,1073,550,523.0
63576405,834,425,409.0
63576406,585,315,270.0
63576407,648,335,313.0
63576408,507,271,236.0
63576409,310,164,146.0
63576410,253,127,126.0
63576411,343,189,154.0
63576412,632,328,304.0
63576413,816,429,387.0
63576501,493,263,230.0
63576502,704,335,369.0
63576503,1,1,
63576504,527,282,245.0
63576505,625,317,308.0
63576506,568,297,271.0
63576507,825,425,400.0
63576508,1165,612,553.0
63576509,412,219,193.0
63576510,634,344,290.0
63576511,577,299,278.0
63576512,702,368,334.0
63576513,203,117,86.0
63576514,344,179,165.0
63576515,534,294,240.0
63576516,554,302,252.0
63576601,863,437,426.0
63576602,693,380,313.0
63576603,453,239,214.0
63576604,850,466,384.0
63576605,692,363,329.0
63576606,946,509,437.0
63576607,844,439,405.0
63576608,664,347,317.0
63576609,481,263,218.0
63576701,550,282,268.0
63576702,958,523,435.0
63576703,969,492,477.0
63576704,1070,566,504.0
63576705,834,421,413.0
63576706,703,351,352.0
63576707,1133,577,556.0
63576708,717,389,328.0
63576709,959,502,457.0
63576710,1249,642,607.0
63576711,1115,591,524.0
63576712,1093,539,554.0
63576713,766,378,388.0
63576714,786,413,373.0
63576715,1465,753,712.0
63576801,1369,717,652.0
63576802,1254,644,610.0
63576803,745,384,361.0
63576804,577,307,270.0
63576805,623,323,300.0
63576806,841,436,405.0
63576807,943,492,451.0
63576808,765,412,353.0
63576809,812,411,401.0
63576810,1203,625,578.0
63576901,664,351,313.0
63576902,760,377,383.0
63576903,678,361,317.0
63576904,782,409,373.0
63576905,805,412,393.0
63576906,877,449,428.0
63576907,1124,589,535.0
63576908,773,391,382.0
63576909,996,521,475.0
63576910,1245,654,591.0
63576911,710,342,368.0
63577001,799,420,379.0
63577002,982,490,492.0
63577003,589,294,295.0
63577004,594,304,290.0
63577005,550,281,269.0
63577006,737,379,358.0
63577007,1104,580,524.0
63577008,945,497,448.0
63577009,639,342,297.0
63577010,595,298,297.0
63577011,736,388,348.0
63577012,632,340,292.0
63577013,907,479,428.0
63577014,744,387,357.0
63577015,670,351,319.0
63577016,645,350,295.0
63577101,970,504,466.0
63577102,1033,565,468.0
63577103,1041,551,490.0
63577104,1234,677,557.0
63577105,841,440,401.0
63577106,1302,684,618.0
63577107,1054,540,514.0
63577108,658,359,299.0
63577109,822,427,395.0
63577110,932,466,466.0
63577111,1084,555,529.0
63577112,1363,709,654.0
63577113,539,277,262.0
63577114,678,362,316.0
63577201,1387,717,670.0
63577202,1413,742,671.0
63577203,996,499,497.0
63577204,1038,534,504.0
63577205,1130,589,541.0
63577206,957,483,474.0
63577207,935,492,443.0
63577208,601,321,280.0
63577209,625,307,318.0
63577210,639,329,310.0
63577211,1023,528,495.0
63577212,651,313,338.0
63577213,839,434,405.0
63577301,610,301,309.0
63577302,230,114,116.0
63577303,53,30,23.0
63577304,661,324,337.0
63577305,971,499,472.0
63577306,27,11,16.0
63577307,145,66,79.0
63577308,230,106,124.0
63577309,292,138,154.0
63577310,993,546,447.0
63577311,1391,702,689.0
63577401,1332,641,691.0
63577402,720,396,324.0
63577403,1370,687,683.0
63577404,1860,918,942.0
63577405,998,514,484.0
63577406,848,410,438.0
63577407,1052,528,524.0
63577408,1695,849,846.0
63577409,1373,696,677.0
63577410,1171,596,575.0
63577501,784,406,378.0
63577502,235,120,115.0
63577503,95,42,53.0
63577504,203,96,107.0
63577505,514,262,252.0
63577506,454,233,221.0
63577507,594,308,286.0
63577508,600,306,294.0
63577509,634,338,296.0
63577510,355,184,171.0
63577511,439,230,209.0
63577601,422,221,201.0
63577602,607,303,304.0
63577603,531,275,256.0
63577604,666,328,338.0
63577605,757,377,380.0
63577606,372,196,176.0
63577607,535,274,261.0
63577608,349,197,152.0
63577609,248,131,117.0
63577610,433,222,211.0
63577611,201,110,91.0
63577612,193,92,101.0
63577701,174,82,92.0
63577702,81,38,43.0
63577703,744,373,371.0
63577704,947,504,443.0
63577705,43,22,21.0
63577706,52,28,24.0
63577707,103,43,60.0
63577708,299,151,148.0
63577709,153,75,78.0
63577710,79,34,45.0
63577801,16,6,10.0
63577802,456,232,224.0
63577803,407,209,198.0
63577804,943,474,469.0
63577805,1117,564,553.0
63577806,70,33,37.0
63577807,131,64,67.0
63577901,96,54,42.0
63577902,1065,543,522.0
63577903,62,32,30.0
63577904,1222,618,604.0
63577905,905,468,437.0
63577906,831,408,423.0
63577907,1137,585,552.0
63577908,847,422,425.0
63577909,691,355,336.0
63577910,68,36,32.0
63577911,989,503,486.0
63577912,741,349,392.0
63578001,34,6,28.0
63578002,703,333,370.0
63578003,982,486,496.0
63578004,755,379,376.0
63578005,514,263,251.0
63578006,499,259,240.0
63578007,481,244,237.0
63578008,492,238,254.0
63578009,612,295,317.0
63578010,641,317,324.0
63578011,725,355,370.0
63578012,924,475,449.0
63578013,616,297,319.0
63578014,623,309,314.0
63578101,204,94,110.0
63578102,28,13,15.0
63578103,21,9,12.0
63578104,288,138,150.0
63578105,686,335,351.0
63578106,694,352,342.0
63578201,231,108,123.0
63578202,166,87,79.0
63578203,199,102,97.0
63578204,59,24,35.0
63578205,174,81,93.0
63578206,82,39,43.0
63578207,337,171,166.0
63578208,631,319,312.0
63578209,625,309,316.0
63578210,671,315,356.0
63578211,39,19,20.0
63578212,238,124,114.0
63578213,212,98,114.0
63578214,53,32,21.0
63578301,359,160,199.0
63578302,281,133,148.0
63578303,343,164,179.0
63578401,94,52,42.0
63578402,64,30,34.0
63578403,229,110,119.0
63578404,249,133,116.0
63578405,199,96,103.0
63578406,202,100,102.0
63578407,157,81,76.0
63578408,81,34,47.0
63578409,101,45,56.0
63578410,69,27,42.0
63578411,129,68,61.0
63578412,138,75,63.0
63578413,78,42,36.0
63578501,121,61,60.0
63578502,151,71,80.0
63578503,135,70,65.0
63578504,136,71,65.0
63578505,169,87,82.0
63578506,136,60,76.0
63578507,112,56,56.0
63578508,164,84,80.0
63578509,141,69,72.0
63578510,140,72,68.0
63578511,56,26,30.0
63578512,74,30,44.0
63578601,24,11,13.0
63578602,65,27,38.0
63578603,99,57,42.0
63578604,93,49,44.0
63578605,36,16,20.0
63578606,14,5,9.0
63578607,27,14,13.0
63578608,34,20,14.0
63578609,67,34,33.0
63578610,56,24,32.0
63578611,49,24,25.0
63578612,60,23,37.0
63578613,33,14,19.0
63578701,837,417,420.0
63578702,897,431,466.0
63578703,798,402,396.0
63578704,812,419,393.0
63578705,994,517,477.0
63578706,947,467,480.0
63578707,671,316,355.0
63578708,739,372,367.0
63578709,608,301,307.0
63578710,621,319,302.0
63578711,640,318,322.0
63578712,930,485,445.0
63578713,621,309,312.0
63578801,365,188,177.0
63578802,22,8,14.0
63578803,404,208,196.0
63578804,582,286,296.0
63578805,293,146,147.0
63578806,407,210,197.0
63578807,647,324,323.0
63578808,380,191,189.0
63578809,313,154,159.0
63578810,297,146,151.0
63578811,409,212,197.0
63578901,890,433,457.0
63578902,955,476,479.0
63578903,693,354,339.0
63578904,719,369,350.0
63578905,933,487,446.0
63578906,573,283,290.0
63578907,338,160,178.0
63578908,710,357,353.0
63578909,464,222,242.0
63578910,385,202,183.0
63578911,804,415,389.0
63578912,503,252,251.0
63578913,300,146,154.0
63578914,366,171,195.0
63578915,471,237,234.0
63579001,608,302,306.0
63579002,514,256,258.0
63579003,517,243,274.0
63579004,452,230,222.0
63579005,556,278,278.0
63579006,225,120,105.0
63579007,640,314,326.0
63579008,343,153,190.0
63579009,463,224,239.0
63579010,276,122,154.0
63579011,279,136,143.0
63579101,1293,653,640.0
63579102,412,202,210.0
63579103,219,109,110.0
63579104,1673,847,826.0
63579105,194,88,106.0
63579106,254,134,120.0
63579107,396,187,209.0
63579108,306,142,164.0
63579109,358,178,180.0
63579110,439,228,211.0
63579111,323,159,164.0
63579201,1367,682,685.0
63579202,984,505,479.0
63579203,498,245,253.0
63579204,958,481,477.0
63579205,680,355,325.0
63579206,541,275,266.0
63579207,905,450,455.0
63579208,234,124,110.0
63579209,724,381,343.0
63579210,280,130,150.0
63579211,1253,666,587.0
63579212,616,323,293.0
63579213,361,185,176.0
63579214,585,269,316.0
63579215,137,64,73.0
63579301,198,112,86.0
63579302,1235,630,605.0
63579303,518,263,255.0
63579304,779,423,356.0
63579305,737,389,348.0
63579306,609,331,278.0
63579307,833,402,431.0
63579308,1369,712,657.0
63579309,909,459,450.0
63579310,981,517,464.0
63579401,914,463,451.0
63579402,756,390,366.0
63579403,321,163,158.0
63579404,201,112,89.0
63579405,362,207,155.0
63579406,244,140,104.0
63579407,118,55,63.0
63579408,288,146,142.0
63579409,349,200,149.0
63579501,1299,682,617.0
63579502,1110,580,530.0
63579503,1063,561,502.0
63579504,731,388,343.0
63579505,919,467,452.0
63579506,747,374,373.0
63579507,1027,542,485.0
63579508,1436,734,702.0
63579509,1237,646,591.0
63579601,1418,711,707.0
63579602,1044,544,500.0
63579603,840,427,413.0
63579604,955,488,467.0
63579605,842,425,417.0
63579606,526,287,239.0
63579607,865,471,394.0
63579608,683,343,340.0
63579701,825,406,419.0
63579702,681,344,337.0
63579703,718,357,361.0
63579704,702,339,363.0
63579705,1382,743,639.0
63579706,943,479,464.0
63579707,1111,549,562.0
63579708,1030,540,490.0
63579709,1587,803,784.0
63579710,893,483,410.0
63579801,795,408,387.0
63579802,531,256,275.0
63579803,446,231,215.0
63579804,436,220,216.0
63579805,537,264,273.0
63579806,430,227,203.0
63579807,398,206,192.0
63579901,69,30,39.0
63579902,301,159,142.0
63579903,378,187,191.0
63579904,504,239,265.0
63579905,225,102,123.0
63579906,624,310,314.0
63579907,657,340,317.0
63579908,849,413,436.0
63579909,723,360,363.0
63579910,730,382,348.0
63579911,795,408,387.0
63579912,809,410,399.0
