"radio_id","ocup_cod","ocup_label","viviendas"
63572002,2,"No hay personas presentes",307
63572003,1,"Hay personas presentes",218
63572003,2,"No hay personas presentes",167
63572004,1,"Hay personas presentes",192
63572004,2,"No hay personas presentes",179
63572005,1,"Hay personas presentes",133
63572005,2,"No hay personas presentes",110
63572006,1,"Hay personas presentes",149
63572006,2,"No hay personas presentes",205
63572007,1,"Hay personas presentes",240
63572007,2,"No hay personas presentes",208
63572008,1,"Hay personas presentes",48
63572008,2,"No hay personas presentes",112
63572009,1,"Hay personas presentes",130
63572009,2,"No hay personas presentes",199
63572101,1,"Hay personas presentes",154
63572101,2,"No hay personas presentes",74
63572102,1,"Hay personas presentes",223
63572102,2,"No hay personas presentes",191
63572103,1,"Hay personas presentes",228
63572103,2,"No hay personas presentes",18
63572104,1,"Hay personas presentes",199
63572104,2,"No hay personas presentes",27
63572105,1,"Hay personas presentes",172
63572105,2,"No hay personas presentes",67
63572106,1,"Hay personas presentes",204
63572106,2,"No hay personas presentes",174
63572107,1,"Hay personas presentes",231
63572107,2,"No hay personas presentes",134
63572108,1,"Hay personas presentes",246
63572108,2,"No hay personas presentes",33
63572109,1,"Hay personas presentes",126
63572109,2,"No hay personas presentes",114
63572110,1,"Hay personas presentes",158
63572110,2,"No hay personas presentes",78
63572111,1,"Hay personas presentes",89
63572111,2,"No hay personas presentes",67
63572201,1,"Hay personas presentes",240
63572201,2,"No hay personas presentes",131
63572202,1,"Hay personas presentes",151
63572202,2,"No hay personas presentes",113
63572203,1,"Hay personas presentes",180
63572203,2,"No hay personas presentes",149
63572204,1,"Hay personas presentes",216
63572204,2,"No hay personas presentes",220
63572205,1,"Hay personas presentes",259
63572205,2,"No hay personas presentes",137
63572206,1,"Hay personas presentes",156
63572206,2,"No hay personas presentes",78
63572207,1,"Hay personas presentes",265
63572207,2,"No hay personas presentes",89
63572208,1,"Hay personas presentes",240
63572208,2,"No hay personas presentes",145
63572209,1,"Hay personas presentes",268
63572209,2,"No hay personas presentes",129
63572210,1,"Hay personas presentes",220
63572210,2,"No hay personas presentes",110
63572211,1,"Hay personas presentes",165
63572211,2,"No hay personas presentes",191
63572212,1,"Hay personas presentes",224
63572212,2,"No hay personas presentes",199
63572213,1,"Hay personas presentes",184
63572213,2,"No hay personas presentes",153
63572214,1,"Hay personas presentes",206
63572214,2,"No hay personas presentes",193
63572215,1,"Hay personas presentes",78
63572215,2,"No hay personas presentes",102
63572216,1,"Hay personas presentes",154
63572216,2,"No hay personas presentes",109
63572301,1,"Hay personas presentes",105
63572301,2,"No hay personas presentes",86
63572302,1,"Hay personas presentes",52
63572302,2,"No hay personas presentes",9
63572303,1,"Hay personas presentes",185
63572303,2,"No hay personas presentes",251
63572304,1,"Hay personas presentes",153
63572304,2,"No hay personas presentes",129
63572305,1,"Hay personas presentes",225
63572305,2,"No hay personas presentes",249
63572306,1,"Hay personas presentes",134
63572306,2,"No hay personas presentes",145
63572307,1,"Hay personas presentes",11
63572307,2,"No hay personas presentes",219
63572308,1,"Hay personas presentes",161
63572308,2,"No hay personas presentes",346
63572309,1,"Hay personas presentes",209
63572309,2,"No hay personas presentes",514
63572310,1,"Hay personas presentes",73
63572310,2,"No hay personas presentes",255
63572311,1,"Hay personas presentes",125
63572311,2,"No hay personas presentes",114
63572401,1,"Hay personas presentes",77
63572401,2,"No hay personas presentes",242
63572402,1,"Hay personas presentes",90
63572402,2,"No hay personas presentes",246
63572403,1,"Hay personas presentes",240
63572403,2,"No hay personas presentes",525
63572404,1,"Hay personas presentes",151
63572404,2,"No hay personas presentes",352
63572405,1,"Hay personas presentes",268
63572405,2,"No hay personas presentes",385
63572501,1,"Hay personas presentes",736
63572501,2,"No hay personas presentes",356
63572502,1,"Hay personas presentes",288
63572502,2,"No hay personas presentes",830
63572503,1,"Hay personas presentes",190
63572503,2,"No hay personas presentes",582
63572601,1,"Hay personas presentes",287
63572601,2,"No hay personas presentes",282
63572602,1,"Hay personas presentes",335
63572602,2,"No hay personas presentes",402
63572603,1,"Hay personas presentes",394
63572603,2,"No hay personas presentes",508
63572604,1,"Hay personas presentes",269
63572604,2,"No hay personas presentes",509
63572701,1,"Hay personas presentes",179
63572701,2,"No hay personas presentes",216
63572702,1,"Hay personas presentes",188
63572702,2,"No hay personas presentes",296
63572703,1,"Hay personas presentes",256
63572703,2,"No hay personas presentes",308
63572704,1,"Hay personas presentes",178
63572704,2,"No hay personas presentes",328
63572705,1,"Hay personas presentes",282
63572705,2,"No hay personas presentes",549
63572801,1,"Hay personas presentes",290
63572801,2,"No hay personas presentes",605
63572802,1,"Hay personas presentes",211
63572802,2,"No hay personas presentes",561
63572803,1,"Hay personas presentes",181
63572803,2,"No hay personas presentes",278
63572804,1,"Hay personas presentes",137
63572804,2,"No hay personas presentes",221
63572805,1,"Hay personas presentes",244
63572805,2,"No hay personas presentes",401
63572806,1,"Hay personas presentes",193
63572806,2,"No hay personas presentes",372
63572901,1,"Hay personas presentes",213
63572901,2,"No hay personas presentes",220
63572902,1,"Hay personas presentes",139
63572902,2,"No hay personas presentes",155
63572903,1,"Hay personas presentes",159
63572903,2,"No hay personas presentes",164
63572904,1,"Hay personas presentes",211
63572904,2,"No hay personas presentes",244
63572905,1,"Hay personas presentes",100
63572905,2,"No hay personas presentes",37
63572906,1,"Hay personas presentes",267
63572906,2,"No hay personas presentes",390
63573001,1,"Hay personas presentes",172
63573001,2,"No hay personas presentes",262
63573002,1,"Hay personas presentes",235
63573002,2,"No hay personas presentes",137
63573003,1,"Hay personas presentes",108
63573003,2,"No hay personas presentes",50
63573004,1,"Hay personas presentes",221
63573004,2,"No hay personas presentes",154
63573005,1,"Hay personas presentes",232
63573005,2,"No hay personas presentes",101
63573006,1,"Hay personas presentes",269
63573006,2,"No hay personas presentes",120
63573007,1,"Hay personas presentes",146
63573007,2,"No hay personas presentes",131
63573008,1,"Hay personas presentes",128
63573008,2,"No hay personas presentes",88
63573009,1,"Hay personas presentes",219
63573009,2,"No hay personas presentes",146
63573010,1,"Hay personas presentes",190
63573010,2,"No hay personas presentes",217
63573011,1,"Hay personas presentes",253
63573011,2,"No hay personas presentes",254
63573101,1,"Hay personas presentes",283
63573101,2,"No hay personas presentes",212
63573102,1,"Hay personas presentes",273
63573102,2,"No hay personas presentes",165
63573103,1,"Hay personas presentes",207
63573103,2,"No hay personas presentes",105
63573104,1,"Hay personas presentes",156
63573104,2,"No hay personas presentes",68
63573105,1,"Hay personas presentes",263
63573105,2,"No hay personas presentes",179
63573106,1,"Hay personas presentes",216
63573106,2,"No hay personas presentes",170
63573107,1,"Hay personas presentes",368
63573107,2,"No hay personas presentes",307
63573108,1,"Hay personas presentes",67
63573108,2,"No hay personas presentes",60
63573109,1,"Hay personas presentes",324
63573109,2,"No hay personas presentes",294
63573110,1,"Hay personas presentes",305
63573110,2,"No hay personas presentes",280
63573201,1,"Hay personas presentes",279
63573201,2,"No hay personas presentes",25
63573202,1,"Hay personas presentes",284
63573202,2,"No hay personas presentes",125
63573203,1,"Hay personas presentes",337
63573203,2,"No hay personas presentes",147
63573204,1,"Hay personas presentes",185
63573204,2,"No hay personas presentes",100
63573205,1,"Hay personas presentes",151
63573205,2,"No hay personas presentes",70
63573206,1,"Hay personas presentes",231
63573206,2,"No hay personas presentes",88
63573207,1,"Hay personas presentes",197
63573207,2,"No hay personas presentes",76
63573208,1,"Hay personas presentes",144
63573208,2,"No hay personas presentes",67
63573209,1,"Hay personas presentes",311
63573209,2,"No hay personas presentes",107
63573210,1,"Hay personas presentes",322
63573210,2,"No hay personas presentes",61
63573211,1,"Hay personas presentes",158
63573211,2,"No hay personas presentes",39
63573212,1,"Hay personas presentes",95
63573212,2,"No hay personas presentes",129
63573301,1,"Hay personas presentes",306
63573301,2,"No hay personas presentes",107
63573302,1,"Hay personas presentes",207
63573302,2,"No hay personas presentes",28
63573303,1,"Hay personas presentes",336
63573303,2,"No hay personas presentes",114
63573304,1,"Hay personas presentes",211
63573304,2,"No hay personas presentes",66
63573305,1,"Hay personas presentes",302
63573305,2,"No hay personas presentes",51
63573306,1,"Hay personas presentes",300
63573306,2,"No hay personas presentes",161
63573307,1,"Hay personas presentes",100
63573307,2,"No hay personas presentes",66
63573308,1,"Hay personas presentes",240
63573308,2,"No hay personas presentes",85
63573309,1,"Hay personas presentes",291
63573309,2,"No hay personas presentes",98
63573310,1,"Hay personas presentes",214
63573310,2,"No hay personas presentes",94
63573311,1,"Hay personas presentes",264
63573311,2,"No hay personas presentes",40
63573312,1,"Hay personas presentes",164
63573312,2,"No hay personas presentes",40
63573313,1,"Hay personas presentes",139
63573313,2,"No hay personas presentes",69
63573314,1,"Hay personas presentes",215
63573314,2,"No hay personas presentes",140
63573315,1,"Hay personas presentes",89
63573315,2,"No hay personas presentes",85
63573401,1,"Hay personas presentes",234
63573401,2,"No hay personas presentes",29
63573402,1,"Hay personas presentes",242
63573402,2,"No hay personas presentes",89
63573403,1,"Hay personas presentes",192
63573403,2,"No hay personas presentes",102
63573404,1,"Hay personas presentes",444
63573404,2,"No hay personas presentes",422
63573405,1,"Hay personas presentes",346
63573405,2,"No hay personas presentes",86
63573406,1,"Hay personas presentes",195
63573406,2,"No hay personas presentes",151
63573407,1,"Hay personas presentes",250
63573407,2,"No hay personas presentes",143
63573408,1,"Hay personas presentes",98
63573408,2,"No hay personas presentes",124
63573501,1,"Hay personas presentes",322
63573501,2,"No hay personas presentes",492
63573502,1,"Hay personas presentes",361
63573502,2,"No hay personas presentes",440
63573503,1,"Hay personas presentes",240
63573503,2,"No hay personas presentes",176
63573504,1,"Hay personas presentes",276
63573504,2,"No hay personas presentes",197
63573505,1,"Hay personas presentes",206
63573505,2,"No hay personas presentes",87
63573506,1,"Hay personas presentes",244
63573506,2,"No hay personas presentes",215
63573507,1,"Hay personas presentes",217
63573507,2,"No hay personas presentes",115
63573508,1,"Hay personas presentes",329
63573508,2,"No hay personas presentes",357
63573509,1,"Hay personas presentes",318
63573509,2,"No hay personas presentes",230
63573510,1,"Hay personas presentes",162
63573510,2,"No hay personas presentes",203
63573511,1,"Hay personas presentes",164
63573511,2,"No hay personas presentes",49
63573512,1,"Hay personas presentes",123
63573512,2,"No hay personas presentes",85
63573601,1,"Hay personas presentes",271
63573601,2,"No hay personas presentes",315
63573602,1,"Hay personas presentes",276
63573602,2,"No hay personas presentes",324
63573603,1,"Hay personas presentes",277
63573603,2,"No hay personas presentes",364
63573604,1,"Hay personas presentes",349
63573604,2,"No hay personas presentes",663
63573605,1,"Hay personas presentes",69
63573605,2,"No hay personas presentes",178
