"radio_id","hogares_con_nbi","hogares_sin_nbi"
63575509,5,234
63575510,3,234
63575511,1,237
63575601,9,372
63575602,4,428
63575603,3,359
63575604,4,262
63575605,1,211
63575606,2,318
63575607,4,369
63575608,2,332
63575609,2,270
63575610,1,192
63575611,7,200
63575612,2,331
63575613,0,240
63575614,8,171
63575615,1,211
63575701,33,315
63575702,5,363
63575703,3,266
63575704,3,211
63575705,4,197
63575706,4,328
63575707,1,277
63575708,3,169
63575709,5,425
63575710,3,200
63575711,5,254
63575712,4,164
63575801,1,239
63575802,4,399
63575803,3,220
63575804,6,314
63575805,5,348
63575806,7,364
63575807,7,325
63575808,9,177
63575809,10,250
63575901,18,410
63575902,4,382
63575903,10,282
63575904,5,306
63575905,6,334
63575906,4,280
63575907,22,335
63575908,13,341
63575909,1,218
63575910,3,218
63575911,6,349
63575912,4,177
63576001,7,334
63576002,5,278
63576003,6,304
63576004,7,199
63576005,11,292
63576006,9,154
63576007,7,336
63576008,15,305
63576009,9,234
63576010,20,226
63576011,9,246
63576012,4,215
63576101,0,357
63576102,1,177
63576103,2,163
63576104,4,308
63576105,0,302
63576106,0,209
63576107,2,178
63576108,0,20
63576109,0,237
63576110,1,200
63576111,3,218
63576112,0,88
63576113,4,263
63576114,5,230
63576115,0,156
63576116,3,219
63576201,9,330
63576202,4,195
63576203,7,168
63576204,6,306
63576205,7,309
63576206,4,274
63576207,10,239
63576208,3,95
63576209,1,286
63576210,1,103
63576211,24,143
63576212,11,171
63576301,0,3
63576302,13,127
63576303,0,161
63576304,2,145
63576305,8,178
63576306,15,95
63576307,5,107
63576308,4,123
63576309,1,137
63576401,2,269
63576402,4,296
63576403,8,310
63576404,14,344
63576405,7,300
63576406,3,201
63576407,2,241
63576408,6,194
63576409,3,122
63576410,0,107
63576411,4,157
63576412,4,214
63576413,6,256
63576501,3,178
63576502,17,246
63576503,0,1
63576504,0,212
63576505,2,237
63576506,2,210
63576507,4,288
63576508,4,408
63576509,0,162
63576510,4,226
63576511,2,212
63576512,5,276
63576513,1,90
63576514,1,157
63576515,1,211
63576516,2,189
63576601,19,288
63576602,14,212
63576603,7,165
63576604,11,320
63576605,5,242
63576606,10,322
63576607,12,276
63576608,3,247
63576609,2,167
63576701,7,203
63576702,15,343
63576703,15,335
63576704,12,348
63576705,16,274
63576706,13,236
63576707,24,383
63576708,12,243
63576709,24,283
63576710,21,382
63576711,21,345
63576712,24,316
63576713,20,212
63576714,17,237
63576715,46,424
63576801,13,481
63576802,26,407
63576803,13,242
63576804,8,202
63576805,12,216
63576806,4,277
63576807,15,304
63576808,18,254
63576809,15,259
63576810,17,376
63576901,8,227
63576902,13,231
63576903,10,219
63576904,10,253
63576905,15,243
63576906,12,283
63576907,25,344
63576908,14,248
63576909,17,312
63576910,21,358
63576911,9,227
63577001,24,274
63577002,14,361
63577003,4,230
63577004,3,241
63577005,7,204
63577006,7,254
63577007,14,402
63577008,8,354
63577009,5,216
63577010,8,186
63577011,10,244
63577012,9,219
63577013,17,289
63577014,13,230
63577015,6,246
63577016,2,223
63577101,41,281
63577102,7,384
63577103,6,384
63577104,6,465
63577105,3,295
63577106,32,342
63577107,9,369
63577108,4,246
63577109,2,292
63577110,19,264
63577111,28,299
63577112,23,415
63577113,5,180
63577114,4,218
63577201,41,363
63577202,45,406
63577203,30,286
63577204,41,278
63577205,20,349
63577206,29,272
63577207,18,287
63577208,6,212
63577209,35,160
63577210,9,202
63577211,15,322
63577212,11,219
63577213,15,254
63577301,34,164
63577302,11,66
63577303,1,14
63577304,24,184
63577305,31,279
63577306,9,3
63577307,3,46
63577308,8,70
63577309,19,70
63577310,16,303
63577311,26,385
63577401,32,392
63577402,0,293
63577403,14,461
63577404,63,484
63577405,47,253
63577406,22,234
63577407,53,257
63577408,80,424
63577409,29,400
63577410,9,376
63577501,9,299
63577502,1,99
63577503,1,42
63577504,2,80
63577505,2,200
63577506,3,159
63577507,9,198
63577508,4,223
63577509,7,250
63577510,1,135
63577511,5,158
63577601,14,124
63577602,23,182
63577603,16,170
63577604,12,229
63577605,12,259
63577606,15,102
63577607,5,201
63577608,5,138
63577609,6,94
63577610,4,156
63577611,2,79
63577612,8,69
63577701,7,53
63577702,3,19
63577703,24,214
63577704,30,268
63577705,1,12
63577706,0,18
63577707,6,38
63577708,5,105
63577709,1,55
63577710,2,28
63577801,0,7
63577802,8,138
63577803,9,117
63577804,18,291
63577805,25,298
63577806,1,23
63577807,6,50
63577901,7,31
63577902,3,390
63577903,1,18
63577904,39,396
63577905,34,238
63577906,28,257
63577907,61,273
63577908,18,275
63577909,13,218
63577910,3,17
63577911,27,287
63577912,27,206
63578001,17,11
63578002,43,189
63578003,45,294
63578004,20,247
63578005,13,161
63578006,9,166
63578007,13,162
63578008,12,159
63578009,24,195
63578010,6,203
63578011,24,213
63578012,32,274
63578013,25,206
63578014,14,215
63578101,12,60
63578102,1,10
63578103,1,7
63578104,7,98
63578105,4,219
63578106,8,230
63578201,7,66
63578202,2,59
63578203,3,67
63578204,1,26
63578205,1,72
63578206,0,27
63578207,40,59
63578208,14,182
63578209,12,205
63578210,29,183
63578211,0,12
63578212,8,65
63578213,6,60
63578214,1,19
63578301,13,101
63578302,2,93
63578303,12,94
63578401,3,39
63578402,2,24
63578403,1,98
63578404,2,82
63578405,2,77
63578406,5,73
63578407,0,50
63578408,2,33
63578409,2,38
63578410,2,22
63578411,3,50
63578412,4,58
63578413,5,23
63578501,3,35
63578502,8,44
63578503,4,48
63578504,1,54
63578505,1,53
63578506,1,51
63578507,1,44
63578508,3,63
63578509,3,59
63578510,2,56
63578511,1,24
63578512,6,21
63578601,1,9
63578602,0,27
63578603,3,35
63578604,1,42
63578605,2,17
63578606,1,7
63578607,0,10
63578608,1,14
63578609,3,23
63578610,1,19
63578611,0,17
63578612,7,19
63578613,0,12
63578701,24,278
63578702,14,278
63578703,4,271
63578704,15,255
63578705,13,315
63578706,13,302
63578707,21,194
63578708,28,199
63578709,5,211
63578710,9,201
63578711,16,168
63578712,28,272
63578713,22,181
63578801,4,125
63578802,2,9
63578803,7,144
63578804,18,193
63578805,3,102
63578806,6,162
63578807,1,241
63578808,2,138
63578809,1,133
63578810,2,113
63578811,2,153
63578901,3,295
63578902,10,304
63578903,1,243
63578904,4,257
63578905,14,279
63578906,6,198
63578907,1,123
63578908,10,235
63578909,3,164
63578910,1,133
63578911,7,279
63578912,3,169
63578913,1,115
63578914,0,132
63578915,2,171
63579001,20,180
63579002,10,167
63579003,13,174
63579004,11,157
63579005,7,203
63579006,1,91
63579007,3,253
63579008,9,117
63579009,11,147
63579010,4,110
63579011,9,86
63579101,1,380
63579102,29,103
63579103,19,48
63579104,4,500
63579105,13,51
63579106,10,71
63579107,14,133
63579108,3,110
63579109,1,120
63579110,5,144
63579111,7,102
63579201,38,388
63579202,25,266
63579203,35,100
63579204,50,217
63579205,19,191
63579206,18,154
63579207,34,226
63579208,5,65
63579209,21,229
63579210,5,83
63579211,49,368
63579212,23,174
63579213,18,88
63579214,10,174
63579215,0,42
63579301,7,73
63579302,53,301
63579303,20,158
63579304,15,263
63579305,9,265
63579306,25,164
63579307,15,254
63579308,51,418
63579309,24,262
63579310,22,298
63579401,1,334
63579402,0,279
63579403,2,140
63579404,4,101
63579405,1,189
63579406,1,118
