"radio_id","hogares_nbi_hac","hogares_nbi_viv","hogares_nbi_san","hogares_nbi_esc","hogares_nbi_sub"
63573208,0,2,0,3,0
63573209,0,0,0,1,0
63573210,1,5,0,0,1
63573211,0,1,0,0,0
63573212,1,2,0,0,0
63573301,0,2,0,0,0
63573302,0,1,0,1,0
63573303,0,1,0,0,0
63573304,0,1,0,0,0
63573305,0,1,0,0,0
63573306,0,1,0,0,0
63573307,1,0,0,0,0
63573308,0,1,0,1,0
63573309,0,1,0,0,0
63573310,0,0,0,1,0
63573311,0,3,1,0,0
63573312,0,1,0,0,0
63573313,0,2,0,0,0
63573314,2,0,0,0,0
63573315,0,0,0,0,0
63573401,1,1,0,2,0
63573402,1,3,0,0,0
63573403,0,0,0,0,0
63573404,1,6,0,0,0
63573405,0,0,0,0,0
63573406,0,2,0,0,0
63573407,3,2,1,1,2
63573408,1,2,0,0,0
63573501,2,2,0,1,0
63573502,0,2,1,0,0
63573503,0,0,0,0,0
63573504,0,2,0,0,0
63573505,0,2,0,0,0
63573506,0,1,0,1,0
63573507,0,1,0,0,0
63573508,1,1,0,1,0
63573509,6,5,0,3,2
63573510,0,3,0,0,0
63573511,2,1,0,3,0
63573512,0,2,0,0,0
63573601,0,2,0,0,0
63573602,4,6,0,4,0
63573603,2,5,0,1,0
63573604,5,4,0,2,0
63573605,0,1,0,0,0
63573701,0,2,0,0,0
63573702,0,0,0,0,0
63573703,1,0,0,2,0
63573704,1,1,0,0,0
63573705,3,0,0,1,1
63573706,1,1,1,0,0
63573707,1,1,0,0,0
63573708,1,0,0,2,0
63573709,1,3,0,0,0
63573801,6,0,1,4,1
63573802,2,2,0,2,1
63573803,3,4,0,0,0
63573804,5,1,0,3,0
63573901,2,0,1,0,0
63573902,0,1,0,3,0
63573903,0,2,0,1,0
63573904,1,6,0,0,0
63573905,0,1,0,3,0
63573906,0,1,0,0,1
63573907,0,1,0,1,0
63573908,0,1,0,0,0
63573909,1,6,0,0,0
63574001,0,0,0,0,0
63574002,1,0,0,0,0
63574003,2,0,0,0,0
63574004,4,1,0,0,0
63574005,1,0,0,1,0
63574006,5,1,0,0,0
63574007,3,3,0,0,0
63574008,1,4,0,0,0
63574101,6,0,0,4,0
63574102,4,0,0,0,0
63574103,6,1,0,3,0
63574104,10,0,0,3,1
63574105,6,2,0,3,0
63574106,0,0,0,0,0
63574107,1,0,0,0,0
63574108,0,0,0,0,0
63574201,1,1,0,0,0
63574202,0,1,0,1,0
63574203,0,3,0,0,0
63574204,0,2,0,0,0
63574205,5,4,0,2,0
63574206,0,1,0,0,0
63574207,0,1,0,0,0
63574301,0,1,0,0,0
63574302,1,0,0,0,0
63574303,1,1,0,0,0
63574304,0,0,0,0,0
63574305,0,0,0,0,0
63574306,2,0,0,0,0
63574307,0,1,0,0,0
63574308,0,1,0,0,0
63574309,0,0,0,0,0
63574310,0,0,0,0,0
63574311,0,0,0,0,0
63574312,0,1,0,0,0
63574401,0,1,0,0,0
63574402,1,0,1,1,0
63574403,0,2,2,1,0
63574404,1,1,0,2,0
63574405,2,1,0,0,0
63574406,2,0,0,0,0
63574407,0,2,0,1,0
63574408,0,0,0,0,0
63574409,0,0,0,0,0
63574501,0,1,0,1,0
63574502,1,0,0,0,0
63574503,3,5,1,0,0
63574504,0,3,0,0,1
